customer_id,snapshot_date,churn_next_60d,split
CUST00001,2025-09-30,1,train
CUST00002,2025-09-30,0,train
CUST00003,2025-09-30,1,train
CUST00004,2025-09-30,1,train
CUST00005,2025-09-30,0,train
CUST00006,2025-09-30,0,validation
CUST00007,2025-09-30,0,train
CUST00008,2025-09-30,0,validation
CUST00009,2025-09-30,0,train
CUST00010,2025-09-30,0,train
CUST00011,2025-09-30,0,train
CUST00012,2025-09-30,1,train
CUST00013,2025-09-30,0,train
CUST00014,2025-09-30,0,train
CUST00015,2025-09-30,0,train
CUST00016,2025-09-30,1,test
CUST00017,2025-09-30,1,train
CUST00018,2025-09-30,1,test
CUST00019,2025-09-30,0,train
CUST00020,2025-09-30,1,train
CUST00021,2025-09-30,1,train
CUST00022,2025-09-30,0,train
CUST00023,2025-09-30,0,train
CUST00024,2025-09-30,0,test
CUST00025,2025-09-30,1,test
CUST00026,2025-09-30,0,train
CUST00027,2025-09-30,0,validation
CUST00028,2025-09-30,0,train
CUST00029,2025-09-30,0,train
CUST00030,2025-09-30,0,test
CUST00031,2025-09-30,1,train
CUST00032,2025-09-30,0,test
CUST00033,2025-09-30,0,validation
CUST00034,2025-09-30,0,train
CUST00035,2025-09-30,1,train
CUST00036,2025-09-30,1,train
CUST00037,2025-09-30,0,train
CUST00038,2025-09-30,0,train
CUST00039,2025-09-30,0,train
CUST00040,2025-09-30,1,train
CUST00041,2025-09-30,1,train
CUST00042,2025-09-30,0,train
CUST00043,2025-09-30,0,test
CUST00044,2025-09-30,0,test
CUST00045,2025-09-30,1,train
CUST00046,2025-09-30,1,train
CUST00047,2025-09-30,1,train
CUST00048,2025-09-30,0,validation
CUST00049,2025-09-30,0,train
CUST00050,2025-09-30,0,train
CUST00051,2025-09-30,1,train
CUST00052,2025-09-30,1,train
CUST00053,2025-09-30,0,validation
CUST00054,2025-09-30,0,train
CUST00055,2025-09-30,0,train
CUST00056,2025-09-30,0,validation
CUST00057,2025-09-30,1,train
CUST00058,2025-09-30,0,test
CUST00059,2025-09-30,0,test
CUST00060,2025-09-30,1,train
CUST00061,2025-09-30,0,train
CUST00062,2025-09-30,0,train
CUST00063,2025-09-30,1,train
CUST00064,2025-09-30,0,test
CUST00065,2025-09-30,0,train
CUST00066,2025-09-30,1,train
CUST00067,2025-09-30,1,test
CUST00068,2025-09-30,1,train
CUST00069,2025-09-30,1,train
CUST00070,2025-09-30,1,train
CUST00071,2025-09-30,1,train
CUST00072,2025-09-30,1,train
CUST00073,2025-09-30,0,train
CUST00074,2025-09-30,0,train
CUST00075,2025-09-30,0,train
CUST00076,2025-09-30,0,train
CUST00077,2025-09-30,1,validation
CUST00078,2025-09-30,1,train
CUST00079,2025-09-30,1,train
CUST00080,2025-09-30,0,train
CUST00081,2025-09-30,0,train
CUST00082,2025-09-30,1,test
CUST00083,2025-09-30,1,train
CUST00084,2025-09-30,1,train
CUST00085,2025-09-30,1,train
CUST00086,2025-09-30,0,test
CUST00087,2025-09-30,0,train
CUST00088,2025-09-30,1,test
CUST00089,2025-09-30,1,train
CUST00090,2025-09-30,0,train
CUST00091,2025-09-30,0,train
CUST00092,2025-09-30,0,test
CUST00093,2025-09-30,1,validation
CUST00094,2025-09-30,1,validation
CUST00095,2025-09-30,1,train
CUST00096,2025-09-30,0,test
CUST00097,2025-09-30,0,train
CUST00098,2025-09-30,1,train
CUST00099,2025-09-30,0,train
CUST00100,2025-09-30,0,validation
CUST00101,2025-09-30,1,train
CUST00102,2025-09-30,0,train
CUST00103,2025-09-30,0,train
CUST00104,2025-09-30,1,validation
CUST00105,2025-09-30,0,train
CUST00106,2025-09-30,1,train
CUST00107,2025-09-30,0,validation
CUST00108,2025-09-30,1,train
CUST00109,2025-09-30,0,test
CUST00110,2025-09-30,1,train
CUST00111,2025-09-30,1,test
CUST00112,2025-09-30,0,train
CUST00113,2025-09-30,0,train
CUST00114,2025-09-30,1,test
CUST00115,2025-09-30,1,train
CUST00116,2025-09-30,1,validation
CUST00117,2025-09-30,1,train
CUST00118,2025-09-30,0,train
CUST00119,2025-09-30,0,train
CUST00120,2025-09-30,0,train
CUST00121,2025-09-30,0,validation
CUST00122,2025-09-30,1,train
CUST00123,2025-09-30,0,train
CUST00124,2025-09-30,1,train
CUST00125,2025-09-30,0,train
CUST00126,2025-09-30,1,train
CUST00127,2025-09-30,0,test
CUST00128,2025-09-30,0,test
CUST00129,2025-09-30,0,train
CUST00130,2025-09-30,0,train
CUST00131,2025-09-30,1,train
CUST00132,2025-09-30,1,train
CUST00133,2025-09-30,0,test
CUST00134,2025-09-30,0,validation
CUST00135,2025-09-30,1,test
CUST00136,2025-09-30,1,train
CUST00137,2025-09-30,1,test
CUST00138,2025-09-30,0,train
CUST00139,2025-09-30,0,test
CUST00140,2025-09-30,0,test
