customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes
CUST00003,2025-03-08,Tier 1,25-34,Influencer,None,Skin Care,Oily,Yes
CUST00004,2025-04-15,Tier 3,25-34,Google Search,None,Fragrance,Normal,No
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes
CUST00007,2025-07-24,Tier 1,18-24,Organic,None,Fragrance,Sensitive,Yes
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes
CUST00009,2025-08-20,Tier 1,25-34,Influencer,None,Skin Care,Oily,No
CUST00010,2025-09-02,Tier 1,18-24,Influencer,None,Wellness,Oily,Yes
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No
CUST00012,2024-11-01,Tier 2,35-44,Instagram,None,Skin Care,Normal,No
CUST00013,2025-01-06,Tier 3,35-44,Google Search,None,Fragrance,Oily,Yes
CUST00014,2024-05-08,Tier 2,18-24,Referral,None,Fragrance,Combination,No
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes
CUST00016,2024-08-13,Tier 2,18-24,Instagram,None,Skin Care,Sensitive,Yes
CUST00017,2024-05-15,Tier 3,35-44,Referral,None,Hair Care,Combination,Yes
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,NA,Yes
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes
CUST00020,2024-04-05,Tier 3,45+,Instagram,None,Skin Care,Combination,No
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes
CUST00022,2025-07-09,Tier 1,18-24,Instagram,None,Wellness,Normal,Yes
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,None,Skin Care,Dry,Yes
CUST00025,2024-03-15,Tier 2,18-24,Referral,None,Baby Care,Normal,Yes
CUST00026,2025-01-13,Tier 2,25-34,Referral,None,Wellness,NA,Yes
CUST00027,2024-04-16,Tier 1,45+,Instagram,None,Baby Care,Sensitive,Yes
CUST00028,2024-09-27,Tier 1,25-34,Influencer,None,Baby Care,Sensitive,Yes
CUST00029,2024-06-14,Tier 2,35-44,Referral,None,Skin Care,NA,No
CUST00030,2024-05-31,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No
CUST00031,2025-07-27,Tier 1,35-44,Marketplace,None,Wellness,Dry,No
CUST00032,2024-12-06,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No
CUST00033,2024-08-15,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes
CUST00034,2024-10-12,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes
CUST00035,2024-09-28,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes
CUST00036,2025-03-22,Tier 3,18-24,Referral,Silver,Makeup,NA,Yes
CUST00037,2024-11-17,Tier 1,35-44,Influencer,None,Makeup,Sensitive,Yes
