customer_id,snapshot_date,last_campaign_received,last_campaign_cost,manual_priority_bucket
CUST00001,2025-09-30,welcome_offer,25,high
CUST00002,2025-09-30,free_shipping,12,medium
CUST00003,2025-09-30,none,18,high
CUST00004,2025-09-30,free_shipping,40,high
CUST00005,2025-09-30,welcome_offer,18,medium
CUST00006,2025-09-30,none,12,medium
CUST00007,2025-09-30,free_shipping,0,low
CUST00008,2025-09-30,bundle_discount,25,medium
CUST00009,2025-09-30,none,40,low
CUST00010,2025-09-30,none,40,low
CUST00011,2025-09-30,new_launch,18,low
CUST00012,2025-09-30,none,12,medium
CUST00013,2025-09-30,free_shipping,25,medium
CUST00014,2025-09-30,bundle_discount,12,medium
CUST00015,2025-09-30,none,12,low
CUST00016,2025-09-30,welcome_offer,0,high
CUST00017,2025-09-30,bundle_discount,0,high
CUST00018,2025-09-30,new_launch,18,high
CUST00019,2025-09-30,free_shipping,40,low
CUST00020,2025-09-30,welcome_offer,12,high
CUST00021,2025-09-30,new_launch,0,high
CUST00022,2025-09-30,welcome_offer,18,low
CUST00023,2025-09-30,welcome_offer,12,low
CUST00024,2025-09-30,new_launch,12,low
CUST00025,2025-09-30,new_launch,12,high
CUST00026,2025-09-30,none,25,medium
CUST00027,2025-09-30,free_shipping,18,medium
CUST00028,2025-09-30,free_shipping,40,high
CUST00029,2025-09-30,free_shipping,40,low
CUST00030,2025-09-30,free_shipping,40,medium
CUST00031,2025-09-30,new_launch,0,medium
CUST00032,2025-09-30,bundle_discount,40,low
CUST00033,2025-09-30,welcome_offer,12,medium
CUST00034,2025-09-30,welcome_offer,40,medium
CUST00035,2025-09-30,new_launch,18,high
CUST00036,2025-09-30,bundle_discount,18,medium
CUST00037,2025-09-30,welcome_offer,12,high
CUST00038,2025-09-30,bundle_discount,25,medium
CUST00039,2025-09-30,welcome_offer,12,low
CUST00040,2025-09-30,none,18,high
CUST00041,2025-09-30,free_shipping,18,medium
CUST00042,2025-09-30,none,12,high
CUST00043,2025-09-30,welcome_offer,18,low
CUST00044,2025-09-30,welcome_offer,18,medium
CUST00045,2025-09-30,welcome_offer,25,high
CUST00046,2025-09-30,new_launch,40,high
CUST00047,2025-09-30,free_shipping,0,high
CUST00048,2025-09-30,none,25,medium
CUST00049,2025-09-30,new_launch,0,low
CUST00050,2025-09-30,bundle_discount,18,low
CUST00051,2025-09-30,new_launch,25,high
CUST00052,2025-09-30,free_shipping,0,medium
CUST00053,2025-09-30,welcome_offer,0,medium
CUST00054,2025-09-30,welcome_offer,18,low
CUST00055,2025-09-30,new_launch,12,low
CUST00056,2025-09-30,new_launch,12,medium
CUST00057,2025-09-30,none,25,high
CUST00058,2025-09-30,new_launch,25,medium
CUST00059,2025-09-30,new_launch,18,low
CUST00060,2025-09-30,none,12,high
CUST00061,2025-09-30,welcome_offer,18,medium
CUST00062,2025-09-30,welcome_offer,12,low
CUST00063,2025-09-30,bundle_discount,0,high
CUST00064,2025-09-30,free_shipping,25,low
CUST00065,2025-09-30,bundle_discount,40,low
CUST00066,2025-09-30,bundle_discount,40,high
CUST00067,2025-09-30,welcome_offer,40,medium
