order_id,customer_id,order_date,category,quantity,gross_amount,discount_pct,delivery_days,returned,rating
ORD000001,CUST00001,2024-08-06,Skin Care,1,540.7,0.43,3,0,4
ORD000002,CUST00001,2024-10-23,Hair Care,2,467.96,0.64,4,1,1
ORD000006,CUST00001,2025-01-18,Makeup,1,581.81,0.27,7,0,4
ORD000005,CUST00001,2025-01-22,Hair Care,1,433.15,0.27,2,0,4
ORD000004,CUST00001,2025-02-28,Skin Care,1,569.22,0.34,4,0,4
ORD000003,CUST00001,2025-06-15,Hair Care,1,362.73,0.23,1,0,3
ORD000007,CUST00002,2025-08-21,Makeup,1,581.0,0.23,5,0,4
ORD008129,CUST00002,2025-10-24,Skin Care,1,562.21,0.16,1,0,5
ORD008130,CUST00002,2025-10-26,Skin Care,1,569.89,0.18,4,0,4
ORD000008,CUST00003,2025-04-12,Baby Care,2,649.98,0.47,2,0,2
ORD000009,CUST00004,2025-05-22,Skin Care,3,1604.04,0.16,5,0,2
ORD000013,CUST00005,2025-04-01,Hair Care,2,769.01,0.33,3,0,5
ORD000012,CUST00005,2025-04-22,Hair Care,3,537.21,0.56,8,0,1
ORD000011,CUST00005,2025-05-12,Hair Care,2,618.43,0.46,7,0,1
ORD000010,CUST00005,2025-08-23,Makeup,1,626.26,0.42,5,0,1
ORD008132,CUST00005,2025-10-29,Hair Care,1,379.14,0.34,4,0,2
ORD008131,CUST00005,2025-11-19,Baby Care,3,980.38,0.22,4,0,4
ORD000016,CUST00006,2025-01-14,Hair Care,2,780.58,0.27,1,0,5
ORD000018,CUST00006,2025-04-27,Baby Care,2,533.3,0.44,3,0,5
ORD000015,CUST00006,2025-07-11,Hair Care,3,1288.57,0.22,3,0,5
ORD000017,CUST00006,2025-07-13,Skin Care,2,907.71,0.37,4,0,4
ORD000014,CUST00006,2025-08-10,Baby Care,1,260.0,0.49,7,1,
ORD008133,CUST00006,2025-10-06,Baby Care,1,217.3,0.38,4,0,4
ORD000019,CUST00007,2025-09-27,Fragrance,1,719.33,0.18,1,0,5
ORD008134,CUST00007,2025-11-27,Skin Care,1,500.57,0.22,2,0,2
ORD000021,CUST00008,2025-03-28,Hair Care,1,298.22,0.24,5,0,4
ORD000022,CUST00008,2025-05-03,Makeup,1,686.9,0.18,5,0,2
ORD000023,CUST00008,2025-05-05,Baby Care,1,403.54,0.1,4,0,2
ORD000020,CUST00008,2025-08-14,Fragrance,2,1358.67,0.37,2,0,3
ORD008135,CUST00008,2025-10-04,Wellness,1,392.57,0.4,1,0,1
ORD008136,CUST00008,2025-10-16,Wellness,1,508.09,0.27,3,0,5
ORD000024,CUST00009,2025-08-30,Hair Care,1,376.85,0.49,6,0,4
ORD008137,CUST00009,2025-11-01,Skin Care,1,427.14,0.3,4,1,3
ORD000025,CUST00010,2025-09-21,Hair Care,2,636.8,0.45,3,0,4
ORD008138,CUST00010,2025-11-21,Makeup,3,1347.38,0.52,3,0,1
ORD000027,CUST00011,2025-03-18,Hair Care,1,416.99,0.17,4,0,4
ORD000026,CUST00011,2025-09-29,Wellness,1,508.08,0.14,4,0,4
ORD008140,CUST00011,2025-11-11,Makeup,1,535.0,0.35,7,0,4
ORD008139,CUST00011,2025-11-23,Makeup,2,1452.42,0.12,7,0,3
ORD000029,CUST00012,2024-11-18,Skin Care,2,1072.75,0.28,8,0,3
ORD000028,CUST00012,2025-08-11,Skin Care,2,978.88,0.31,2,0,5
ORD000032,CUST00013,2025-04-04,Skin Care,1,668.37,0.16,5,0,5
ORD000030,CUST00013,2025-07-01,Skin Care,1,514.98,0.14,7,0,5
ORD000031,CUST00013,2025-07-31,Makeup,1,571.09,0.39,5,0,5
ORD008141,CUST00013,2025-11-27,Wellness,2,1180.08,0.13,6,0,4
ORD000034,CUST00014,2024-05-19,Fragrance,2,1781.74,0.17,6,0,4
ORD000040,CUST00014,2024-07-10,Wellness,2,1170.49,0.21,7,0,4
ORD000033,CUST00014,2024-08-09,Hair Care,1,417.47,0.15,3,0,1
ORD000036,CUST00014,2024-09-10,Baby Care,2,733.89,0.13,2,0,4
ORD000039,CUST00014,2024-09-21,Fragrance,2,1310.37,0.36,5,0,4
ORD000035,CUST00014,2024-10-08,Skin Care,1,443.51,0.26,3,0,4
ORD000042,CUST00014,2024-10-27,Hair Care,1,270.95,0.39,6,0,4
ORD000038,CUST00014,2025-02-06,Baby Care,1,202.35,0.45,6,0,5
ORD000041,CUST00014,2025-03-18,Wellness,1,417.0,0.47,4,0,4
