ticket_id,customer_id,ticket_date,issue_type,support_channel,resolution_hours,sentiment_score,reopened
TKT000001,CUST00001,2024-10-28,damaged_item,chat,3.9,-0.16,0
TKT000002,CUST00001,2025-02-03,payment_issue,chat,4.8,0.44,0
TKT000003,CUST00002,2025-08-30,late_delivery,chat,1,0.0,0
TKT000004,CUST00005,2025-05-02,late_delivery,call,37.7,-1,0
TKT000005,CUST00006,2025-08-13,general_query,call,23.1,-0.68,1
TKT000006,CUST00006,2025-07-19,damaged_item,chat,12.1,-0.68,0
TKT000007,CUST00008,2025-04-04,damaged_item,call,6.0,0.08,0
TKT000008,CUST00012,2024-11-30,damaged_item,call,18.7,-0.12,0
TKT000009,CUST00013,2025-04-13,refund_delay,email,74.6,-1,0
TKT000010,CUST00014,2024-05-28,late_delivery,call,6.5,0.02,0
TKT000011,CUST00014,2024-11-05,damaged_item,email,10.0,-0.51,0
TKT000012,CUST00016,2025-03-11,late_delivery,call,6.4,0.37,0
TKT000013,CUST00020,2024-10-06,general_query,chat,28.9,-0.95,0
TKT000014,CUST00021,2025-07-24,late_delivery,call,20.1,-0.85,0
TKT000015,CUST00025,2025-04-29,damaged_item,chat,4.6,0.37,0
TKT000016,CUST00025,2025-03-28,refund_delay,email,48.4,-0.68,0
TKT000017,CUST00025,2024-11-27,late_delivery,call,1,-0.37,1
TKT000018,CUST00026,2025-07-30,refund_delay,call,20.0,-0.63,0
TKT000019,CUST00027,2025-07-29,damaged_item,call,8.0,-0.13,0
TKT000020,CUST00028,2025-03-20,payment_issue,email,1,0.39,0
TKT000021,CUST00030,2025-07-02,general_query,chat,13.8,-0.4,0
TKT000022,CUST00030,2025-08-11,refund_delay,email,41.5,-0.43,0
TKT000023,CUST00033,2024-11-25,refund_delay,chat,39.4,-0.88,0
TKT000024,CUST00033,2025-09-25,late_delivery,call,33.3,-1,0
TKT000025,CUST00034,2025-01-04,late_delivery,email,15.2,0.17,0
TKT000026,CUST00034,2025-08-18,general_query,call,23.6,-0.99,1
TKT000027,CUST00034,2024-10-30,payment_issue,chat,12.5,0.13,0
TKT000028,CUST00036,2025-09-08,late_delivery,email,27.9,-0.17,0
TKT000029,CUST00038,2025-08-21,late_delivery,call,21.9,0.13,1
TKT000030,CUST00040,2025-05-07,general_query,call,33.9,0.0,0
TKT000031,CUST00041,2025-03-03,refund_delay,chat,53.0,-1,0
TKT000032,CUST00042,2025-07-12,late_delivery,call,1,0.54,1
TKT000033,CUST00042,2025-04-30,late_delivery,email,17.7,-0.77,0
TKT000034,CUST00042,2025-07-02,late_delivery,email,18.3,-0.39,1
TKT000035,CUST00042,2024-07-24,general_query,email,21.2,-0.64,0
TKT000036,CUST00042,2024-06-02,late_delivery,call,6.3,-1,0
TKT000037,CUST00042,2025-05-11,refund_delay,call,7.5,-0.47,0
TKT000038,CUST00044,2024-09-12,late_delivery,email,46.7,-1,1
TKT000039,CUST00048,2025-04-26,general_query,chat,30.0,-0.08,0
TKT000040,CUST00050,2025-06-27,refund_delay,call,57.7,-1,0
TKT000041,CUST00051,2025-01-05,product_reaction,email,37.2,-0.19,0
TKT000042,CUST00051,2024-07-02,damaged_item,email,47.2,-0.58,0
TKT000043,CUST00052,2025-02-17,late_delivery,chat,18.7,-1,0
TKT000044,CUST00053,2025-01-28,late_delivery,email,38.2,-0.74,0
TKT000045,CUST00053,2025-08-03,refund_delay,chat,56.1,-0.39,1
TKT000046,CUST00055,2025-04-17,refund_delay,chat,46.3,-1,0
TKT000047,CUST00056,2025-09-01,damaged_item,call,19.9,-0.08,0
TKT000048,CUST00061,2025-09-01,damaged_item,chat,23.6,-0.33,0
TKT000049,CUST00062,2025-04-12,late_delivery,call,12.6,-0.28,0
TKT000050,CUST00063,2025-03-10,wrong_item,email,19.1,-0.03,0
TKT000051,CUST00066,2024-04-02,product_reaction,chat,23.9,-1,0
TKT000052,CUST00067,2025-07-28,damaged_item,email,16.4,-0.24,0
TKT000053,CUST00068,2024-08-31,wrong_item,email,23.7,-1,0
TKT000054,CUST00071,2025-09-07,refund_delay,chat,33.0,-0.29,0
TKT000055,CUST00074,2025-09-26,payment_issue,email,29.3,-0.35,0
TKT000056,CUST00075,2025-05-31,late_delivery,email,25.0,-1,0
TKT000057,CUST00075,2025-03-13,wrong_item,call,20.7,-0.14,0
TKT000058,CUST00075,2025-02-01,damaged_item,call,22.2,-0.24,0
TKT000059,CUST00075,2025-02-05,refund_delay,chat,40.6,-0.03,1
TKT000060,CUST00078,2025-05-24,late_delivery,call,25.7,-1,1
TKT000061,CUST00081,2025-06-09,refund_delay,email,18.7,-0.97,1
TKT000062,CUST00081,2025-03-08,damaged_item,email,14.7,-0.57,0
TKT000063,CUST00081,2025-01-22,payment_issue,call,18.6,-0.96,0
TKT000064,CUST00083,2025-07-04,payment_issue,chat,11.0,-1,1
TKT000065,CUST00086,2025-08-13,damaged_item,call,6.6,-0.48,0
TKT000066,CUST00088,2024-05-06,late_delivery,call,17.1,-0.88,1
TKT000067,CUST00090,2025-07-01,wrong_item,chat,18.5,-0.55,0
TKT000068,CUST00091,2024-12-18,late_delivery,email,24.2,0.12,0
TKT000069,CUST00094,2025-03-07,general_query,call,1,-0.18,0
TKT000070,CUST00094,2025-04-01,late_delivery,call,7.7,-0.16,0
TKT000071,CUST00095,2025-08-03,late_delivery,chat,5.3,-0.38,1
TKT000072,CUST00096,2025-05-22,damaged_item,email,32.9,-1,0
TKT000073,CUST00097,2025-05-25,refund_delay,call,37.3,0.02,0
TKT000074,CUST00097,2024-12-31,refund_delay,email,53.5,-1,0
TKT000075,CUST00098,2024-09-17,refund_delay,email,26.4,-0.25,0
TKT000076,CUST00099,2025-04-21,late_delivery,call,23.3,-0.61,0
TKT000077,CUST00101,2024-03-26,wrong_item,email,21.8,-0.83,0
TKT000078,CUST00101,2024-11-02,damaged_item,chat,34.8,-1,0
TKT000079,CUST00106,2025-02-14,payment_issue,chat,51.6,-1,0
TKT000080,CUST00108,2025-08-21,refund_delay,chat,18.1,-0.73,0
TKT000081,CUST00110,2025-08-28,refund_delay,chat,42.5,-1,0
TKT000082,CUST00110,2025-07-24,wrong_item,email,27.3,-0.13,1
TKT000083,CUST00112,2025-03-15,damaged_item,call,1.9,-0.31,0
TKT000084,CUST00114,2024-05-30,general_query,email,26.8,-0.75,0
TKT000085,CUST00115,2025-05-05,wrong_item,email,29.1,-0.77,0
TKT000086,CUST00119,2025-07-24,damaged_item,chat,6.0,-0.07,0
TKT000087,CUST00123,2025-04-10,payment_issue,call,26.3,-0.31,0
TKT000088,CUST00123,2025-03-11,late_delivery,email,14.4,-0.56,0
TKT000089,CUST00123,2025-05-17,late_delivery,chat,16.0,-0.54,0
TKT000090,CUST00129,2025-07-01,payment_issue,email,1,0.61,0
TKT000091,CUST00129,2025-07-18,general_query,call,15.8,0.36,0
TKT000092,CUST00133,2025-05-06,wrong_item,call,27.9,-0.53,0
TKT000093,CUST00134,2024-07-20,late_delivery,chat,10.6,0.12,0
TKT000094,CUST00134,2025-03-17,product_reaction,email,38.4,-0.88,1
TKT000095,CUST00134,2025-05-28,payment_issue,email,14.8,-0.19,0
TKT000096,CUST00139,2025-09-07,late_delivery,call,29.7,-0.41,0
TKT000097,CUST00139,2025-07-26,product_reaction,call,45.5,-1,0
TKT000098,CUST00140,2025-09-30,wrong_item,email,31.3,-0.12,0
TKT000099,CUST00140,2025-06-16,damaged_item,call,17.1,-0.02,0
TKT000100,CUST00144,2024-11-02,late_delivery,chat,27.2,-0.82,1
TKT000101,CUST00144,2024-05-29,damaged_item,email,1,0.86,0
TKT000102,CUST00144,2025-07-17,product_reaction,call,27.5,-0.3,0
TKT000103,CUST00146,2025-01-31,wrong_item,chat,1,-0.25,0
TKT000104,CUST00147,2025-04-14,late_delivery,call,19.8,0.03,0
TKT000105,CUST00148,2025-05-25,general_query,email,20.8,-0.61,1
TKT000106,CUST00151,2024-11-19,payment_issue,email,22.7,-1,0
TKT000107,CUST00151,2024-12-22,general_query,email,30.7,-0.89,0
TKT000108,CUST00151,2024-07-02,refund_delay,chat,18.9,-0.84,0
TKT000109,CUST00152,2025-03-26,damaged_item,email,16.5,-0.56,0
TKT000110,CUST00152,2025-08-20,general_query,call,33.4,-0.58,0
TKT000111,CUST00152,2025-07-19,refund_delay,call,35.1,-1,0
TKT000112,CUST00152,2025-08-11,refund_delay,chat,43.0,-0.63,0
TKT000113,CUST00156,2025-09-01,general_query,chat,2.8,0.43,0
TKT000114,CUST00157,2024-12-31,damaged_item,call,28.9,-0.21,0
TKT000115,CUST00160,2025-04-14,product_reaction,call,37.0,-0.6,0
TKT000116,CUST00164,2024-03-06,wrong_item,email,9.4,-0.19,0
TKT000117,CUST00166,2025-09-20,general_query,chat,22.8,0.22,0
TKT000118,CUST00170,2024-05-19,product_reaction,chat,36.5,-0.48,1
TKT000119,CUST00172,2024-01-23,late_delivery,call,33.8,-0.75,0
TKT000120,CUST00172,2025-09-30,damaged_item,email,1,0.44,0
TKT000121,CUST00172,2024-06-22,general_query,email,31.3,-0.89,0
TKT000122,CUST00173,2024-05-14,product_reaction,chat,19.2,-0.46,0
TKT000123,CUST00174,2024-12-29,general_query,call,20.3,0.11,0
TKT000124,CUST00174,2025-03-19,general_query,call,42.3,-1,1
TKT000125,CUST00175,2025-05-18,payment_issue,chat,30.7,-0.49,0
TKT000126,CUST00178,2025-09-30,refund_delay,call,16.9,-1,0
TKT000127,CUST00178,2024-11-28,refund_delay,email,31.9,-0.34,0
TKT000128,CUST00178,2024-12-19,late_delivery,call,35.4,-0.79,0
TKT000129,CUST00178,2025-09-26,damaged_item,chat,10.2,-0.62,0
TKT000130,CUST00179,2025-08-28,general_query,email,30.2,0.09,0
TKT000131,CUST00179,2025-08-18,damaged_item,email,27.7,-0.39,0
TKT000132,CUST00180,2025-05-18,late_delivery,call,21.0,-0.38,0
TKT000133,CUST00183,2025-05-09,payment_issue,chat,34.7,-1,0
TKT000134,CUST00184,2025-01-29,damaged_item,chat,13.1,0.27,0
TKT000135,CUST00184,2025-03-03,product_reaction,call,28.2,-0.91,0
TKT000136,CUST00186,2025-08-28,late_delivery,email,26.2,-0.09,0
TKT000137,CUST00187,2025-04-03,late_delivery,call,24.3,-0.5,1
TKT000138,CUST00188,2024-09-13,late_delivery,call,2.9,-0.51,0
TKT000139,CUST00188,2025-04-10,product_reaction,call,32.8,-1,0
TKT000140,CUST00188,2025-09-08,late_delivery,email,9.3,-0.92,0
TKT000141,CUST00189,2024-03-15,wrong_item,chat,1.8,0.6,0
TKT000142,CUST00189,2024-11-05,product_reaction,chat,32.2,-0.32,0
TKT000143,CUST00189,2024-09-08,product_reaction,chat,38.8,-0.49,0
TKT000144,CUST00190,2025-09-27,refund_delay,email,45.4,-1,0
TKT000145,CUST00194,2025-02-04,late_delivery,email,20.5,-0.24,0
TKT000146,CUST00194,2025-05-21,payment_issue,call,27.7,-1,0
TKT000147,CUST00194,2025-07-19,general_query,email,19.7,-0.02,1
TKT000148,CUST00195,2025-09-11,refund_delay,chat,37.4,-1,1
TKT000149,CUST00196,2025-07-28,damaged_item,email,46.6,-0.51,1
TKT000150,CUST00197,2025-09-22,product_reaction,email,54.3,-1,1
TKT000151,CUST00197,2025-02-06,payment_issue,email,39.3,-1,1
TKT000152,CUST00197,2025-03-19,wrong_item,email,23.8,-0.73,0
TKT000153,CUST00198,2025-01-21,wrong_item,email,18.8,-0.55,0
TKT000154,CUST00198,2024-11-15,damaged_item,email,10.6,-1,0
TKT000155,CUST00199,2025-09-30,product_reaction,email,63.0,-1,1
TKT000156,CUST00200,2024-07-22,late_delivery,chat,36.4,-0.04,0
TKT000157,CUST00201,2025-07-10,general_query,chat,1,0.29,1
TKT000158,CUST00201,2025-02-15,product_reaction,call,40.4,-1,0
TKT000159,CUST00206,2025-02-26,damaged_item,call,32.6,-0.95,0
TKT000160,CUST00206,2024-06-08,refund_delay,chat,35.2,-0.59,0
TKT000161,CUST00206,2024-10-04,refund_delay,email,48.2,-0.6,0
TKT000162,CUST00208,2025-07-02,payment_issue,call,8.9,-0.8,0
TKT000163,CUST00209,2024-10-12,damaged_item,chat,26.5,-1,0
TKT000164,CUST00211,2024-12-07,damaged_item,call,42.3,-0.03,1
TKT000165,CUST00213,2024-06-29,late_delivery,email,25.4,-0.36,0
TKT000166,CUST00213,2025-07-10,general_query,chat,23.6,-0.99,0
TKT000167,CUST00215,2025-01-30,refund_delay,chat,31.8,-0.89,0
TKT000168,CUST00216,2025-08-22,product_reaction,chat,48.0,-1,0
TKT000169,CUST00219,2025-03-19,payment_issue,call,33.9,-1,0
TKT000170,CUST00220,2025-09-14,wrong_item,email,18.8,0.57,0
TKT000171,CUST00222,2025-04-04,product_reaction,call,29.0,-0.6,1
TKT000172,CUST00223,2025-06-20,refund_delay,email,44.4,-0.61,0
TKT000173,CUST00224,2024-11-05,late_delivery,call,25.2,-0.78,0
TKT000174,CUST00226,2025-08-15,wrong_item,chat,17.6,-0.93,0
TKT000175,CUST00227,2024-08-11,late_delivery,call,26.4,-0.23,0
TKT000176,CUST00227,2024-11-02,wrong_item,email,33.6,-1,0
TKT000177,CUST00228,2024-06-28,damaged_item,chat,39.2,-0.72,1
TKT000178,CUST00228,2024-07-08,damaged_item,call,60.9,-0.56,1
TKT000179,CUST00229,2024-12-23,damaged_item,chat,5.6,0.56,0
TKT000180,CUST00230,2025-06-14,damaged_item,chat,8.1,0.09,0
TKT000181,CUST00230,2025-04-30,late_delivery,call,11.0,0.16,0
TKT000182,CUST00236,2025-08-01,wrong_item,chat,7.5,0.15,0
TKT000183,CUST00238,2024-11-05,late_delivery,call,25.6,-0.76,1
TKT000184,CUST00238,2025-07-26,late_delivery,email,15.6,0.22,0
TKT000185,CUST00240,2025-08-10,wrong_item,email,1,-0.11,0
TKT000186,CUST00243,2025-08-02,product_reaction,call,14.0,0.47,0
TKT000187,CUST00246,2025-08-11,refund_delay,call,36.1,-0.48,0
TKT000188,CUST00247,2024-12-20,damaged_item,email,12.3,-0.09,0
TKT000189,CUST00247,2024-07-27,damaged_item,email,15.2,-0.85,0
TKT000190,CUST00247,2024-12-17,damaged_item,chat,22.8,-0.05,0
TKT000191,CUST00251,2025-08-22,refund_delay,chat,40.2,-1,1
TKT000192,CUST00255,2025-09-18,late_delivery,chat,22.2,-0.35,0
TKT000193,CUST00255,2025-06-22,refund_delay,call,9.2,-0.6,0
TKT000194,CUST00256,2024-12-18,refund_delay,call,30.2,0.05,1
TKT000195,CUST00258,2025-04-26,refund_delay,email,50.6,-1,1
TKT000196,CUST00263,2025-09-06,general_query,chat,20.3,-0.07,0
TKT000197,CUST00263,2025-02-16,refund_delay,email,32.4,-0.92,0
TKT000198,CUST00263,2025-03-06,general_query,chat,1,-0.37,1
TKT000199,CUST00263,2025-08-18,refund_delay,chat,12.8,-0.04,0
TKT000200,CUST00263,2024-10-25,payment_issue,email,34.1,-0.15,0
TKT000201,CUST00263,2025-05-26,refund_delay,call,44.7,-1,0
TKT000202,CUST00264,2025-09-10,late_delivery,call,12.0,-0.22,0
TKT000203,CUST00266,2025-05-07,late_delivery,call,15.9,-0.99,0
